,alumnoid,proyectoid,apto
147,44,3,
148,45,3,
149,46,3,
150,47,3,
151,48,3,
152,49,3,
153,50,3,
154,51,3,
155,52,3,
156,1,4,Apto
157,2,4,Apto
158,3,4,No Apto
159,4,4,Apto
160,5,4,Apto
161,6,4,Apto
162,7,4,Apto
163,8,4,Apto
164,9,4,No Apto
165,10,4,Apto
166,11,4,Apto
167,12,4,Apto
168,13,4,Apto
169,14,4,Apto
170,15,4,Apto
171,16,4,Apto
172,17,4,Apto
173,18,4,Apto
174,19,4,Apto
175,20,4,Apto
176,21,4,Apto
177,22,4,Apto
178,23,4,Apto
179,24,4,No Apto
180,25,4,Apto
181,26,4,
182,27,4,
183,28,4,
184,29,4,
185,30,4,
186,31,4,
187,32,4,
188,33,4,
189,34,4,
190,35,4,
191,36,4,
192,37,4,
193,38,4,
194,39,4,
195,40,4,
196,41,4,
197,42,4,
198,43,4,
199,44,4,
200,45,4,
201,46,4,
202,47,4,
203,48,4,
204,49,4,
205,50,4,
206,51,4,
207,52,4,
208,1,5,Apto
209,2,5,Apto
210,3,5,Apto
211,4,5,No Apto
212,5,5,Apto
213,6,5,Apto
214,7,5,Apto
215,8,5,Apto
216,9,5,Apto
217,10,5,Apto
218,11,5,Apto
219,12,5,Apto
220,13,5,Apto
221,14,5,Apto
222,15,5,Apto
223,16,5,No Apto
224,17,5,No Apto
225,18,5,Apto
226,19,5,Apto
227,20,5,Apto
228,21,5,Apto
229,22,5,Apto
230,23,5,Apto
231,24,5,Apto
232,25,5,Apto
233,26,5,
234,27,5,
235,28,5,
236,29,5,
237,30,5,
238,31,5,
239,32,5,
240,33,5,
241,34,5,
242,35,5,
243,36,5,
244,37,5,
245,38,5,
246,39,5,
247,40,5,
248,41,5,
249,42,5,
250,43,5,
251,44,5,
252,45,5,
253,46,5,
254,47,5,
255,48,5,
256,49,5,
257,50,5,
258,51,5,
259,52,5,
260,1,6,
261,2,6,
262,3,6,
263,4,6,
264,5,6,
265,6,6,
266,7,6,
267,8,6,
268,9,6,
269,10,6,
270,11,6,
271,12,6,
272,13,6,
273,14,6,
274,15,6,
275,16,6,
276,17,6,
277,18,6,
278,19,6,
279,20,6,
280,21,6,
281,22,6,
282,23,6,
283,24,6,
284,25,6,
285,26,6,Apto
286,27,6,No Apto
287,28,6,Apto
288,29,6,Apto
289,30,6,Apto
290,31,6,No Apto
291,32,6,No Apto
292,33,6,Apto
293,34,6,No Apto
294,35,6,No Apto
295,36,6,No Apto
296,37,6,Apto
297,38,6,Apto
298,39,6,Apto
299,40,6,Apto
300,41,6,Apto
301,42,6,Apto
302,43,6,Apto
303,44,6,No Apto
304,45,6,Apto
305,46,6,No Apto
306,47,6,No Apto
307,48,6,No Apto
308,49,6,Apto
309,50,6,No Apto
310,51,6,Apto
311,52,6,Apto
312,1,7,
313,2,7,
314,3,7,
315,4,7,
316,5,7,
317,6,7,
318,7,7,
319,8,7,
320,9,7,
321,10,7,
322,11,7,
323,12,7,
324,13,7,
325,14,7,
326,15,7,
327,16,7,
328,17,7,
329,18,7,
330,19,7,
331,20,7,
332,21,7,
333,22,7,
334,23,7,
335,24,7,
336,25,7,
337,26,7,Apto
338,27,7,No Apto
339,28,7,No Apto
340,29,7,No Apto
341,30,7,Apto
342,31,7,No Apto
343,32,7,Apto
344,33,7,Apto
345,34,7,Apto
346,35,7,Apto
347,36,7,Apto
348,37,7,Apto
349,38,7,Apto
350,39,7,Apto
351,40,7,Apto
352,41,7,Apto
353,42,7,Apto
354,43,7,No Apto
355,44,7,Apto
356,45,7,Apto
357,46,7,No Apto
358,47,7,No Apto
359,48,7,No Apto
360,49,7,Apto
361,50,7,No Apto
362,51,7,Apto
363,52,7,No Apto
364,1,Proyecto_Backend,
365,2,Proyecto_Backend,
366,3,Proyecto_Backend,
367,4,Proyecto_Backend,
368,5,Proyecto_Backend,
369,6,Proyecto_Backend,
370,7,Proyecto_Backend,
371,8,Proyecto_Backend,
372,9,Proyecto_Backend,
373,10,Proyecto_Backend,
374,11,Proyecto_Backend,
375,12,Proyecto_Backend,
376,13,Proyecto_Backend,
377,14,Proyecto_Backend,
378,15,Proyecto_Backend,
379,16,Proyecto_Backend,
380,17,Proyecto_Backend,
381,18,Proyecto_Backend,
382,19,Proyecto_Backend,
383,20,Proyecto_Backend,
384,21,Proyecto_Backend,
385,22,Proyecto_Backend,
386,23,Proyecto_Backend,
387,24,Proyecto_Backend,
388,25,Proyecto_Backend,
389,26,Proyecto_Backend,Apto
390,27,Proyecto_Backend,Apto
391,28,Proyecto_Backend,Apto
392,29,Proyecto_Backend,Apto
393,30,Proyecto_Backend,Apto
394,31,Proyecto_Backend,No Apto
395,32,Proyecto_Backend,Apto
396,33,Proyecto_Backend,No Apto
397,34,Proyecto_Backend,Apto
398,35,Proyecto_Backend,Apto
399,36,Proyecto_Backend,Apto
400,37,Proyecto_Backend,Apto
401,38,Proyecto_Backend,No Apto
402,39,Proyecto_Backend,Apto
403,40,Proyecto_Backend,Apto
404,41,Proyecto_Backend,No Apto
405,42,Proyecto_Backend,Apto
406,43,Proyecto_Backend,No Apto
407,44,Proyecto_Backend,Apto
408,45,Proyecto_Backend,Apto
409,46,Proyecto_Backend,No Apto
410,47,Proyecto_Backend,Apto
411,48,Proyecto_Backend,No Apto
412,49,Proyecto_Backend,No Apto
413,50,Proyecto_Backend,Apto
414,51,Proyecto_Backend,No Apto
415,52,Proyecto_Backend,No Apto
416,1,9,
417,2,9,
418,3,9,
419,4,9,
420,5,9,
421,6,9,
422,7,9,
423,8,9,
424,9,9,
425,10,9,
426,11,9,
427,12,9,
428,13,9,
429,14,9,
430,15,9,
431,16,9,
432,17,9,
433,18,9,
434,19,9,
435,20,9,
436,21,9,
437,22,9,
438,23,9,
439,24,9,
440,25,9,
441,26,9,Apto
442,27,9,No Apto
443,28,9,No Apto
444,29,9,No Apto
445,30,9,Apto
446,31,9,Apto
447,32,9,Apto
448,33,9,Apto
449,34,9,Apto
450,35,9,No Apto
451,36,9,Apto
452,37,9,Apto
453,38,9,No Apto
454,39,9,Apto
455,40,9,Apto
456,41,9,Apto
457,42,9,Apto
458,43,9,Apto
459,44,9,Apto
460,45,9,Apto
461,46,9,Apto
462,47,9,No Apto
463,48,9,Apto
464,49,9,Apto
465,50,9,No Apto
466,51,9,No Apto
467,52,9,Apto
468,1,10,
469,2,10,
470,3,10,
471,4,10,
472,5,10,
473,6,10,
474,7,10,
475,8,10,
476,9,10,
477,10,10,
478,11,10,
479,12,10,
480,13,10,
481,14,10,
482,15,10,
483,16,10,
484,17,10,
485,18,10,
486,19,10,
487,20,10,
488,21,10,
489,22,10,
490,23,10,
491,24,10,
492,25,10,
493,26,10,No Apto
494,27,10,Apto
495,28,10,Apto
496,29,10,Apto
497,30,10,No Apto
498,31,10,No Apto
499,32,10,Apto
500,33,10,Apto
501,34,10,Apto
502,35,10,Apto
503,36,10,Apto
504,37,10,Apto
505,38,10,No Apto
506,39,10,Apto
507,40,10,Apto
508,41,10,Apto
509,42,10,Apto
510,43,10,Apto
511,44,10,No Apto
512,45,10,Apto
513,46,10,Apto
514,47,10,No Apto
515,48,10,Apto
516,49,10,Apto
517,50,10,No Apto
518,51,10,Apto
519,52,10,Apto
